point,ufc,ba
CAT003,23.43,62.5
CAT004,15.62,70
CAT011,35.54,90
CAT013,25.78,60
CAT017,25,122.5
CAT023,23.43,107.5
CAT030,6.64,145
CAT040,8.2,90
CAT059,9.7,110
CAT061,28.12,92.5
CAT068,9.37,85
CAT071,25.78,97.5
CAT082,15.23,112.5
CAT083,1.56,95
CAT090,7.81,145
CAT093,12.89,120
CAT100,3.9,115
CAT110,37.89,57.5
CAT122,15.62,125
CAT129,9.76,145
CAT134,5.07,145
CAT138,5.07,130
CAT146,7.03,130
CAT175,9.76,110
CAT179,26.56,50
CAT180,7.81,122.5
CAT181,27.73,100
CAT198,3.5,67.5
CAT247,8.59,117.5
CAT262,1.95,95
CAT264,24.21,117.5
CAT269,5.46,127.5
CAT276,4.68,135
CAT293,4.29,155
CAT346,5.85,135
FCW018,22.26,80
FCW052,30.46,90
FCW065,8.59,107.5
FCW067,8.2,125.5
FCW082,10.54,105
FCW083,31.25,95
FCW085,25.39,80
FCW099,21.48,95
FCW112,26.56,72
FCW129,13.67,60
FCW131,17.18,77.5
FCW143,25.39,110
FCW159,8.98,97.5
FCW175,30.07,77.5
FCW182,27.73,72.5
FCW191,14.06,85
FCW205,17.96,100
FCW249,28.12,87
FCW264,33.2,105
FCW265,16.01,87.5
FCW274,16.4,130
FCW281,8.59,82.5
FCW292,12.1,80
FCW298,8.2,107.5
FCW299,16.01,95
FCW311,5.07,70
FCW373,26.95,85
FCW379,14.84,117.5
FCW388,11.71,125
FCW413,2.34,105
FCW432,12.89,137.5
FCW441,8.2,100
FCW450,11.71,145
FCW486,1.17,180
FCW498,10.93,85
